"","Param","Date","Year","Units","Month","Result"
"82","pH",1997-01-13,1997,"pH","Jan",7.7
"83","pH",1992-02-03,1992,"pH","Feb",7.5
"84","Temperature, water",1992-02-03,1992,"deg C","Feb",5.6
"85","Temperature, water",1997-02-03,1997,"deg C","Feb",3.4
"86","pH",1997-02-03,1997,"pH","Feb",7.3
"87","pH",1991-02-04,1991,"pH","Feb",7.7
"88","Temperature, water",1991-02-04,1991,"deg C","Feb",7.1
"89","Dissolved Oxygen",1991-02-04,1991,"mg/L","Feb",11
"90","pH",1992-03-02,1992,"pH","Mar",7.7
"91","Temperature, water",1992-03-02,1992,"deg C","Mar",7.5
"92","pH",1997-03-03,1997,"pH","Mar",7.4
"93","Temperature, water",1997-03-03,1997,"deg C","Mar",3.4
"94","pH",1991-03-04,1991,"pH","Mar",7.6
"95","Temperature, water",1991-03-04,1991,"deg C","Mar",6.2
"96","pH",1991-04-01,1991,"pH","Apr",8.6
"97","Temperature, water",1991-04-01,1991,"deg C","Apr",13
"98","Temperature, water",1992-04-06,1992,"deg C","Apr",8.4
"99","pH",1992-04-06,1992,"pH","Apr",8.6
"100","Temperature, water",1997-04-07,1997,"deg C","Apr",5.3
"101","pH",1997-04-07,1997,"pH","Apr",8.2
"102","Dissolved Oxygen",1992-05-04,1992,"mg/L","May",9.9
"103","pH",1992-05-04,1992,"pH","May",8.1
"104","Temperature, water",1992-05-04,1992,"deg C","May",15.1
"105","pH",1997-05-05,1997,"pH","May",7.8
"106","Temperature, water",1997-05-05,1997,"deg C","May",8.1
"107","pH",1991-05-06,1991,"pH","May",7.9
"108","Dissolved Oxygen",1991-05-06,1991,"mg/L","May",10.5
"109","Temperature, water",1991-05-06,1991,"deg C","May",11.6
"110","Temperature, water",1992-06-01,1992,"deg C","Jun",18.8
"111","pH",1992-06-01,1992,"pH","Jun",7.5
"112","Temperature, water",1997-06-02,1997,"deg C","Jun",11.4
"113","pH",1997-06-02,1997,"pH","Jun",7.2
"114","Temperature, water",1991-06-03,1991,"deg C","Jun",15
"115","pH",1991-06-03,1991,"pH","Jun",8
"116","Dissolved Oxygen",1991-06-03,1991,"mg/L","Jun",9.8
"117","pH",1992-07-06,1992,"pH","Jul",8.3
"118","Dissolved Oxygen",1992-07-06,1992,"mg/L","Jul",9.6
"119","Temperature, water",1992-07-06,1992,"deg C","Jul",18.8
"120","Temperature, water",1997-07-07,1997,"deg C","Jul",15.5
"121","pH",1997-07-07,1997,"pH","Jul",8.1
"122","Temperature, water",1991-07-08,1991,"deg C","Jul",19.6
"123","pH",1991-07-08,1991,"pH","Jul",7.9
"124","pH",1992-08-03,1992,"pH","Aug",8.3
"125","Temperature, water",1992-08-03,1992,"deg C","Aug",20.4
"126","pH",1997-08-04,1997,"pH","Aug",8.2
"127","Temperature, water",1997-08-04,1997,"deg C","Aug",19.5
"128","Temperature, water",1991-08-05,1991,"deg C","Aug",20.9
"129","pH",1991-08-05,1991,"pH","Aug",7.4
"130","pH",1991-09-02,1991,"pH","Sep",8.3
"131","Temperature, water",1991-09-02,1991,"deg C","Sep",17.8
"132","Dissolved Oxygen",1992-09-08,1992,"mg/L","Sep",10.5
"133","Temperature, water",1992-09-08,1992,"deg C","Sep",15.2
"134","pH",1992-09-08,1992,"pH","Sep",8.4
"135","Temperature, water",1997-09-08,1997,"deg C","Sep",13.6
"136","pH",1997-09-08,1997,"pH","Sep",8.3
"137","Temperature, water",1991-10-07,1991,"deg C","Oct",12.2
"138","pH",1991-10-07,1991,"pH","Oct",8
"139","Temperature, water",1996-10-07,1996,"deg C","Oct",11.5
"140","pH",1996-10-07,1996,"pH","Oct",7.9
"141","pH",1991-11-04,1991,"pH","Nov",7.8
"142","Temperature, water",1991-11-04,1991,"deg C","Nov",6.2
"143","pH",1996-11-04,1996,"pH","Nov",7.6
"144","Temperature, water",1996-11-04,1996,"deg C","Nov",6.5
"145","pH",1991-12-02,1991,"pH","Dec",7.4
"146","Temperature, water",1991-12-02,1991,"deg C","Dec",5.8
"147","pH",1996-12-02,1996,"pH","Dec",7
"148","Temperature, water",1996-12-02,1996,"deg C","Dec",4
"149","pH",1990-12-03,1990,"pH","Dec",7.5
"150","Temperature, water",1990-12-03,1990,"deg C","Dec",6
"151","pH",2011-07-08,2011,"pH","Jul",8.43
"152","Temperature, water",2011-07-08,2011,"deg C","Jul",14.3
"153","Dissolved Oxygen",2011-07-08,2011,"mg/L","Jul",10
"154","pH",2011-07-08,2011,"pH","Jul",7.97
"155","Temperature, water",2011-07-08,2011,"deg C","Jul",13.1
"156","Dissolved Oxygen",2011-07-08,2011,"mg/L","Jul",7.9
"157","pH",2011-07-08,2011,"pH","Jul",7.84
"158","Temperature, water",2011-07-08,2011,"deg C","Jul",13.8
"159","Dissolved Oxygen",2011-07-08,2011,"mg/L","Jul",7.1
"160","pH",2011-07-08,2011,"pH","Jul",8.76
"161","Temperature, water",2011-07-08,2011,"deg C","Jul",18.1
"162","Dissolved Oxygen",2011-07-08,2011,"mg/L","Jul",10.8
"163","pH",2011-07-09,2011,"pH","Jul",7.48
"164","Temperature, water",2011-07-09,2011,"deg C","Jul",13.8
"165","Dissolved Oxygen",2011-07-09,2011,"mg/L","Jul",9.1
"166","pH",2011-07-09,2011,"pH","Jul",7.72
"167","Temperature, water",2011-07-09,2011,"deg C","Jul",12.2
"168","Dissolved Oxygen",2011-07-09,2011,"mg/L","Jul",9.8
"169","pH",2011-07-09,2011,"pH","Jul",7.44
"170","Temperature, water",2011-07-09,2011,"deg C","Jul",16.3
"171","Dissolved Oxygen",2011-07-09,2011,"mg/L","Jul",8.7
"172","pH",2011-07-09,2011,"pH","Jul",7.64
"173","Temperature, water",2011-07-09,2011,"deg C","Jul",14.9
"174","Dissolved Oxygen",2011-07-09,2011,"mg/L","Jul",9.2
"175","pH",2011-07-10,2011,"pH","Jul",7.15
"176","Temperature, water",2011-07-10,2011,"deg C","Jul",21.5
"177","Dissolved Oxygen",2011-07-10,2011,"mg/L","Jul",6
"178","pH",2011-07-10,2011,"pH","Jul",8.04
"179","Temperature, water",2011-07-10,2011,"deg C","Jul",10.1
"180","Dissolved Oxygen",2011-07-10,2011,"mg/L","Jul",9.8
"181","pH",2011-07-10,2011,"pH","Jul",7.1
"182","Temperature, water",2011-07-10,2011,"deg C","Jul",16.1
"183","Dissolved Oxygen",2011-07-10,2011,"mg/L","Jul",6.5
"184","pH",2011-07-10,2011,"pH","Jul",7.91
"185","Temperature, water",2011-07-10,2011,"deg C","Jul",12.1
"186","Dissolved Oxygen",2011-07-10,2011,"mg/L","Jul",9.2
"187","pH",2011-07-11,2011,"pH","Jul",7.93
"188","Temperature, water",2011-07-11,2011,"deg C","Jul",11.8
"189","Dissolved Oxygen",2011-07-11,2011,"mg/L","Jul",9.3
"190","pH",2011-07-11,2011,"pH","Jul",7.87
"191","Temperature, water",2011-07-11,2011,"deg C","Jul",16.7
"192","Dissolved Oxygen",2011-07-11,2011,"mg/L","Jul",8.1
"193","pH",2011-07-12,2011,"pH","Jul",7.86
"194","Temperature, water",2011-07-12,2011,"deg C","Jul",12.8
"195","Dissolved Oxygen",2011-07-12,2011,"mg/L","Jul",9.6
"196","pH",2011-07-12,2011,"pH","Jul",7.58
"197","Temperature, water",2011-07-12,2011,"deg C","Jul",17.6
"198","Dissolved Oxygen",2011-07-12,2011,"mg/L","Jul",8.9
"199","pH",2011-07-13,2011,"pH","Jul",8.02
"200","Temperature, water",2011-07-13,2011,"deg C","Jul",14.3
"201","Dissolved Oxygen",2011-07-13,2011,"mg/L","Jul",8.7
"202","pH",2011-07-13,2011,"pH","Jul",7.99
"203","Temperature, water",2011-07-13,2011,"deg C","Jul",16.1
"204","Dissolved Oxygen",2011-07-13,2011,"mg/L","Jul",8.6
"205","pH",2011-07-15,2011,"pH","Jul",8.24
"206","Temperature, water",2011-07-15,2011,"deg C","Jul",13.5
"207","Dissolved Oxygen",2011-07-15,2011,"mg/L","Jul",9.7
"208","pH",2011-07-15,2011,"pH","Jul",8.26
"209","Temperature, water",2011-07-15,2011,"deg C","Jul",15.2
"210","Dissolved Oxygen",2011-07-15,2011,"mg/L","Jul",8.9
"211","pH",2011-07-16,2011,"pH","Jul",7.84
"212","Temperature, water",2011-07-16,2011,"deg C","Jul",11.2
"213","Dissolved Oxygen",2011-07-16,2011,"mg/L","Jul",10
"214","pH",2011-07-16,2011,"pH","Jul",7.91
"215","Temperature, water",2011-07-16,2011,"deg C","Jul",12.5
"216","Dissolved Oxygen",2011-07-16,2011,"mg/L","Jul",9.8
"217","pH",2011-08-27,2011,"pH","Aug",6.7
"218","Temperature, water",2011-08-27,2011,"deg C","Aug",15.2
"219","Dissolved Oxygen",2011-08-27,2011,"mg/L","Aug",8.6
"220","pH",2011-08-27,2011,"pH","Aug",6.95
"221","Temperature, water",2011-08-27,2011,"deg C","Aug",18.7
"222","Dissolved Oxygen",2011-08-27,2011,"mg/L","Aug",8.5
"223","pH",2011-08-28,2011,"pH","Aug",7.31
"224","Temperature, water",2011-08-28,2011,"deg C","Aug",13.2
"225","Dissolved Oxygen",2011-08-28,2011,"mg/L","Aug",7.2
"226","pH",2011-08-28,2011,"pH","Aug",7.21
"227","Temperature, water",2011-08-28,2011,"deg C","Aug",14.4
"228","Dissolved Oxygen",2011-08-28,2011,"mg/L","Aug",6.4
"229","pH",2011-09-01,2011,"pH","Sep",6.74
"230","Temperature, water",2011-09-01,2011,"deg C","Sep",9.6
"231","Dissolved Oxygen",2011-09-01,2011,"mg/L","Sep",9.9
"232","pH",2011-09-01,2011,"pH","Sep",6.94
"233","Temperature, water",2011-09-01,2011,"deg C","Sep",10.9
"234","Dissolved Oxygen",2011-09-01,2011,"mg/L","Sep",9.6
"235","pH",2015-01-13,2015,"pH","Jan",7.23
"236","Temperature, water",2015-01-13,2015,"deg C","Jan",3.42
"237","Dissolved Oxygen",2015-01-13,2015,"mg/L","Jan",12.26
"238","pH",2015-01-13,2015,"pH","Jan",7.36
"239","Temperature, water",2015-01-13,2015,"deg C","Jan",3.79
"240","Dissolved Oxygen",2015-01-13,2015,"mg/L","Jan",12.5
"241","pH",2015-01-13,2015,"pH","Jan",7.45
"242","Temperature, water",2015-01-13,2015,"deg C","Jan",4.36
"243","Dissolved Oxygen",2015-01-13,2015,"mg/L","Jan",12.23
"244","pH",2015-01-13,2015,"pH","Jan",7.53
"245","Temperature, water",2015-01-13,2015,"deg C","Jan",4.32
"246","Dissolved Oxygen",2015-01-13,2015,"mg/L","Jan",12.53
"247","pH",2015-01-13,2015,"pH","Jan",7.57
"248","Temperature, water",2015-01-13,2015,"deg C","Jan",4.41
"249","Dissolved Oxygen",2015-01-13,2015,"mg/L","Jan",12.45
"250","Temperature, water",2003-01-14,2003,"deg C","Jan",5.01
"251","Dissolved Oxygen",2003-01-14,2003,"mg/L","Jan",11.79
"252","Dissolved Oxygen",2003-01-14,2003,"mg/L","Jan",12.8
"253","pH",2003-01-14,2003,"pH","Jan",7.69
"254","pH",2003-01-14,2003,"pH","Jan",7.41
"255","Dissolved Oxygen",2003-01-14,2003,"mg/L","Jan",12.8
"256","Temperature, water",2003-01-14,2003,"deg C","Jan",4.82
"257","Temperature, water",2003-01-14,2003,"deg C","Jan",5.2
"258","Dissolved Oxygen",2003-01-14,2003,"mg/L","Jan",13.18
"259","pH",2003-01-14,2003,"pH","Jan",7.8
"260","Dissolved Oxygen",2003-01-14,2003,"mg/L","Jan",13.03
"261","Temperature, water",2003-01-14,2003,"deg C","Jan",5.52
"262","pH",2003-01-14,2003,"pH","Jan",8.05
"263","Dissolved Oxygen",2003-01-14,2003,"mg/L","Jan",12.21
"264","Dissolved Oxygen",2003-01-14,2003,"mg/L","Jan",12.88
"265","pH",2003-01-14,2003,"pH","Jan",7.9
"266","Temperature, water",2003-01-14,2003,"deg C","Jan",5.6
"267","pH",2015-02-03,2015,"pH","Feb",7.6
"268","Temperature, water",2015-02-03,2015,"deg C","Feb",3.84
"269","Dissolved Oxygen",2015-02-03,2015,"mg/L","Feb",11.71
"270","pH",2015-02-03,2015,"pH","Feb",7.55
"271","Temperature, water",2015-02-03,2015,"deg C","Feb",3.85
"272","Dissolved Oxygen",2015-02-03,2015,"mg/L","Feb",11.72
"273","pH",2015-02-03,2015,"pH","Feb",7.94
"274","Temperature, water",2015-02-03,2015,"deg C","Feb",4.53
"275","Dissolved Oxygen",2015-02-03,2015,"mg/L","Feb",11.99
"276","pH",2015-02-03,2015,"pH","Feb",7.93
"277","Temperature, water",2015-02-03,2015,"deg C","Feb",5.21
"278","Dissolved Oxygen",2015-02-03,2015,"mg/L","Feb",11.59
"279","pH",2015-02-03,2015,"pH","Feb",7.83
"280","Temperature, water",2015-02-03,2015,"deg C","Feb",5.25
"281","Dissolved Oxygen",2015-02-03,2015,"mg/L","Feb",11.8
"282","pH",2015-02-03,2015,"pH","Feb",7.76
"283","Temperature, water",2015-02-03,2015,"deg C","Feb",5.31
"284","Dissolved Oxygen",2015-02-03,2015,"mg/L","Feb",11.71
"285","pH",2015-02-10,2015,"pH","Feb",7.35
"286","Temperature, water",2015-02-10,2015,"deg C","Feb",5.76
"287","Dissolved Oxygen",2015-02-10,2015,"mg/L","Feb",11.3
"288","pH",2015-02-10,2015,"pH","Feb",7.22
"289","Temperature, water",2015-02-10,2015,"deg C","Feb",6.35
"290","Dissolved Oxygen",2015-02-10,2015,"mg/L","Feb",11.29
"291","pH",2015-02-10,2015,"pH","Feb",7.23
"292","Temperature, water",2015-02-10,2015,"deg C","Feb",6.45
"293","Dissolved Oxygen",2015-02-10,2015,"mg/L","Feb",11.28
"294","pH",2015-02-10,2015,"pH","Feb",7.25
"295","Temperature, water",2015-02-10,2015,"deg C","Feb",6.6
"296","Dissolved Oxygen",2015-02-10,2015,"mg/L","Feb",11.47
"297","pH",2015-02-10,2015,"pH","Feb",7.23
"298","Temperature, water",2015-02-10,2015,"deg C","Feb",6.67
"299","Dissolved Oxygen",2015-02-10,2015,"mg/L","Feb",11.37
"300","pH",2015-03-10,2015,"pH","Mar",7.1
"301","Temperature, water",2015-03-10,2015,"deg C","Mar",2.77
"302","Dissolved Oxygen",2015-03-10,2015,"mg/L","Mar",12.06
"303","pH",2015-03-10,2015,"pH","Mar",7.08
"304","Temperature, water",2015-03-10,2015,"deg C","Mar",4.22
"305","Dissolved Oxygen",2015-03-10,2015,"mg/L","Mar",12.16
"306","pH",2015-03-10,2015,"pH","Mar",7.38
"307","Temperature, water",2015-03-10,2015,"deg C","Mar",4.37
"308","Dissolved Oxygen",2015-03-10,2015,"mg/L","Mar",12.1
"309","pH",2015-03-10,2015,"pH","Mar",7.46
"310","Temperature, water",2015-03-10,2015,"deg C","Mar",4.85
"311","Dissolved Oxygen",2015-03-10,2015,"mg/L","Mar",12.25
"312","pH",2015-03-10,2015,"pH","Mar",7.47
"313","Temperature, water",2015-03-10,2015,"deg C","Mar",5.08
"314","Dissolved Oxygen",2015-03-10,2015,"mg/L","Mar",12.19
"315","pH",2015-03-10,2015,"pH","Mar",7.48
"316","Temperature, water",2015-03-10,2015,"deg C","Mar",5.11
"317","Dissolved Oxygen",2015-03-10,2015,"mg/L","Mar",12.2
"318","Temperature, water",2003-03-11,2003,"deg C","Mar",5.74
"319","pH",2003-03-11,2003,"pH","Mar",7.52
"320","Dissolved Oxygen",2003-03-11,2003,"mg/L","Mar",12.35
"321","Dissolved Oxygen",2003-03-11,2003,"mg/L","Mar",10.6
"322","Temperature, water",2003-03-11,2003,"deg C","Mar",5.7
"323","pH",2003-03-11,2003,"pH","Mar",7.74
"324","Dissolved Oxygen",2003-03-11,2003,"mg/L","Mar",12.53
"325","pH",2003-03-11,2003,"pH","Mar",7.7
"326","Temperature, water",2003-03-11,2003,"deg C","Mar",6.18
"327","Dissolved Oxygen",2003-03-11,2003,"mg/L","Mar",12.4
"328","Temperature, water",2003-03-11,2003,"deg C","Mar",6.38
"329","Dissolved Oxygen",2003-03-11,2003,"mg/L","Mar",11.3
"330","pH",2003-03-11,2003,"pH","Mar",7.63
"331","Dissolved Oxygen",2003-03-11,2003,"mg/L","Mar",12.19
"332","pH",2003-04-07,2003,"pH","Apr",7.85
"333","Dissolved Oxygen",2003-04-07,2003,"mg/L","Apr",13.28
"334","Dissolved Oxygen",2003-04-07,2003,"mg/L","Apr",12.2
"335","Temperature, water",2003-04-07,2003,"deg C","Apr",4.4
"336","Temperature, water",2003-04-07,2003,"deg C","Apr",4.64
"337","pH",2003-04-07,2003,"pH","Apr",7.78
"338","Dissolved Oxygen",2003-04-07,2003,"mg/L","Apr",13.2
"339","Temperature, water",2003-04-07,2003,"deg C","Apr",6.05
"340","Dissolved Oxygen",2003-04-07,2003,"mg/L","Apr",13.16
"341","pH",2003-04-07,2003,"pH","Apr",7.98
"342","Dissolved Oxygen",2003-04-07,2003,"mg/L","Apr",12.9
"343","pH",2003-04-07,2003,"pH","Apr",7.83
"344","Temperature, water",2003-04-07,2003,"deg C","Apr",6.3
"345","Dissolved Oxygen",2003-04-07,2003,"mg/L","Apr",11.8
"346","pH",2015-04-14,2015,"pH","Apr",7.38
"347","Temperature, water",2015-04-14,2015,"deg C","Apr",4.69
"348","Dissolved Oxygen",2015-04-14,2015,"mg/L","Apr",11.61
"349","pH",2015-04-14,2015,"pH","Apr",7.53
"350","Temperature, water",2015-04-14,2015,"deg C","Apr",6.45
"351","Dissolved Oxygen",2015-04-14,2015,"mg/L","Apr",11.46
"352","pH",2015-04-14,2015,"pH","Apr",7.66
"353","Temperature, water",2015-04-14,2015,"deg C","Apr",6.56
"354","Dissolved Oxygen",2015-04-14,2015,"mg/L","Apr",11.53
"355","pH",2015-04-14,2015,"pH","Apr",7.81
"356","Temperature, water",2015-04-14,2015,"deg C","Apr",7.08
"357","pH",2015-04-14,2015,"pH","Apr",7.92
"358","Temperature, water",2015-04-14,2015,"deg C","Apr",7.32
"359","Dissolved Oxygen",2015-04-14,2015,"mg/L","Apr",11.85
"360","Temperature, water",2003-04-21,2003,"deg C","Apr",8.45
"361","Dissolved Oxygen",2003-04-21,2003,"mg/L","Apr",12.62
"362","pH",2003-04-21,2003,"pH","Apr",8.67
"363","Dissolved Oxygen",2003-04-21,2003,"mg/L","Apr",11.82
"364","pH",2003-04-21,2003,"pH","Apr",8.88
"365","Temperature, water",2003-04-21,2003,"deg C","Apr",9.9
"366","Dissolved Oxygen",2003-04-21,2003,"mg/L","Apr",12.25
"367","Dissolved Oxygen",2003-04-21,2003,"mg/L","Apr",11.5
"368","Dissolved Oxygen",2003-04-21,2003,"mg/L","Apr",12.2
"369","pH",2003-04-21,2003,"pH","Apr",8.87
"370","Temperature, water",2003-04-21,2003,"deg C","Apr",9.5
"371","Dissolved Oxygen",2003-04-21,2003,"mg/L","Apr",12.5
"372","Temperature, water",2003-04-21,2003,"deg C","Apr",10.02
"373","pH",2003-04-21,2003,"pH","Apr",8.9
"374","Dissolved Oxygen",2003-04-21,2003,"mg/L","Apr",12.4
"375","pH",2003-04-21,2003,"pH","Apr",8.75
"376","Dissolved Oxygen",2003-04-21,2003,"mg/L","Apr",9.9
"377","Temperature, water",2003-04-21,2003,"deg C","Apr",12.8
"378","Dissolved Oxygen",2003-04-21,2003,"mg/L","Apr",12.09
"379","pH",2003-04-21,2003,"pH","Apr",9.07
"380","Temperature, water",2003-04-21,2003,"deg C","Apr",11.9
"381","Dissolved Oxygen",2003-04-21,2003,"mg/L","Apr",11.19
"382","Dissolved Oxygen",2003-04-21,2003,"mg/L","Apr",11.65
"383","pH",2003-04-21,2003,"pH","Apr",8.97
"384","Temperature, water",2003-04-21,2003,"deg C","Apr",12.5
"385","pH",2015-05-05,2015,"pH","May",7.49
"386","Temperature, water",2015-05-05,2015,"deg C","May",8.49
"387","Dissolved Oxygen",2015-05-05,2015,"mg/L","May",10.48
"388","pH",2015-05-05,2015,"pH","May",7.48
"389","Temperature, water",2015-05-05,2015,"deg C","May",10
"390","Dissolved Oxygen",2015-05-05,2015,"mg/L","May",10.39
"391","pH",2015-05-05,2015,"pH","May",7.48
"392","Temperature, water",2015-05-05,2015,"deg C","May",10
"393","Dissolved Oxygen",2015-05-05,2015,"mg/L","May",10.39
"394","pH",2015-05-05,2015,"pH","May",7.75
"395","Temperature, water",2015-05-05,2015,"deg C","May",11.02
"396","Dissolved Oxygen",2015-05-05,2015,"mg/L","May",10.76
"397","pH",2015-05-05,2015,"pH","May",8.09
"398","Temperature, water",2015-05-05,2015,"deg C","May",10.04
"399","Dissolved Oxygen",2015-05-05,2015,"mg/L","May",11.17
"400","pH",2015-05-05,2015,"pH","May",8.15
"401","Temperature, water",2015-05-05,2015,"deg C","May",10.3
"402","Dissolved Oxygen",2015-05-05,2015,"mg/L","May",11.17
"403","pH",2003-05-06,2003,"pH","May",8.31
"404","Temperature, water",2003-05-06,2003,"deg C","May",8.76
"405","Dissolved Oxygen",2003-05-06,2003,"mg/L","May",12.6
"406","pH",2003-05-06,2003,"pH","May",8.83
"407","Temperature, water",2003-05-06,2003,"deg C","May",8.08
"408","Dissolved Oxygen",2003-05-06,2003,"mg/L","May",12.6
"409","Dissolved Oxygen",2003-05-06,2003,"mg/L","May",11.86
"410","pH",2003-05-06,2003,"pH","May",8.63
"411","Temperature, water",2003-05-06,2003,"deg C","May",8.67
"412","Dissolved Oxygen",2003-05-06,2003,"mg/L","May",12.65
"413","Dissolved Oxygen",2003-05-06,2003,"mg/L","May",13.6
"414","Temperature, water",2003-05-06,2003,"deg C","May",9.33
"415","pH",2003-05-06,2003,"pH","May",9.08
"416","Dissolved Oxygen",2003-05-06,2003,"mg/L","May",12.27
"417","Dissolved Oxygen",2003-05-06,2003,"mg/L","May",13.35
"418","Temperature, water",2003-05-06,2003,"deg C","May",10.12
"419","pH",2003-05-06,2003,"pH","May",9.23
"420","pH",2015-05-19,2015,"pH","May",7.46
"421","Temperature, water",2015-05-19,2015,"deg C","May",10.79
"422","Dissolved Oxygen",2015-05-19,2015,"mg/L","May",9.87
"423","pH",2015-05-19,2015,"pH","May",7.5
"424","Temperature, water",2015-05-19,2015,"deg C","May",13
"425","Dissolved Oxygen",2015-05-19,2015,"mg/L","May",9.46
"426","pH",2015-05-19,2015,"pH","May",7.7
"427","Temperature, water",2015-05-19,2015,"deg C","May",11.84
"428","Dissolved Oxygen",2015-05-19,2015,"mg/L","May",10.12
