"","applied_amount","measurement_unit","applied_date","applied_year","practice_code","practice_name","program","land_use","land_unit_id","land_unit_acres","huc12","affiliate_type","land_unit_has_multiple_instances_of_same_practice_code","land_unit_has_multiple_instances_of_same_practice_code_applied_the_same_year","duplicates_id_yr_code","duplicates_id_yr_code_amt","flagged_for_removal"
"29",33.4,"Ac",2014-10-30,2015,"WQL05","Apply nutrients no more than 30 days prior to planned planting date","CStwP","Crop","{00B45097-79DE-4B4D-9BF5-D2B01B519174}",33.4,"170601070806","NRCS","yes","no",1,1,0
"30",33.4,"Ac",2015-10-30,2016,"WQL05","Apply nutrients no more than 30 days prior to planned planting date","CStwP","Crop","{00B45097-79DE-4B4D-9BF5-D2B01B519174}",33.4,"170601070806","NRCS","yes","no",1,1,0
"31",33.4,"Ac",2016-10-30,2017,"WQL05","Apply nutrients no more than 30 days prior to planned planting date","CStwP","Crop","{00B45097-79DE-4B4D-9BF5-D2B01B519174}",33.4,"170601070806","NRCS","yes","yes",1,1,0
"32",33.4,"Ac",2014-10-30,2015,"WQL09","Apply phosphorus fertilizer below soil surface","CStwP","Crop","{00B45097-79DE-4B4D-9BF5-D2B01B519174}",33.4,"170601070806","NRCS","yes","no",1,1,0
"33",33.4,"Ac",2015-10-30,2016,"WQL09","Apply phosphorus fertilizer below soil surface","CStwP","Crop","{00B45097-79DE-4B4D-9BF5-D2B01B519174}",33.4,"170601070806","NRCS","yes","no",1,1,0
"34",33.4,"Ac",2016-10-30,2017,"WQL09","Apply phosphorus fertilizer below soil surface","CStwP","Crop","{00B45097-79DE-4B4D-9BF5-D2B01B519174}",33.4,"170601070806","NRCS","yes","yes",1,1,0
"35",45,"Ac",2014-01-01,2014,"449","Irrigation Water Management","CTA-GENRL","Crop","{011FFCE7-8F1D-4E53-89F8-5D0A8082F93B}",43.3,"170601100102","NRCS","yes","no",1,1,0
"36",45,"Ac",2015-01-09,2015,"449","Irrigation Water Management","EQIP","Crop","{011FFCE7-8F1D-4E53-89F8-5D0A8082F93B}",43.3,"170601100102","NRCS","yes","no",1,1,0
"37",45,"Ac",2015-12-14,2016,"449","Irrigation Water Management","EQIP","Crop","{011FFCE7-8F1D-4E53-89F8-5D0A8082F93B}",43.3,"170601100102","NRCS","yes","no",1,1,0
"38",1,"No",2013-04-03,2013,"533","Pumping Plant","EQIP","Crop","{011FFCE7-8F1D-4E53-89F8-5D0A8082F93B}",43.3,"170601100102","NRCS","no","no",1,1,0
"39",2.9,"Ac",2021-09-30,2021,"590","Nutrient Management","CStwP","Crop","{012D5065-243A-4E76-8C2A-0CB069DA2BD2}",2.9,"170701020308","Other source","yes","no",1,1,0
"40",2.9,"Ac",2022-09-30,2022,"590","Nutrient Management","CStwP","Crop","{012D5065-243A-4E76-8C2A-0CB069DA2BD2}",2.9,"170701020308","Other source","yes","no",1,1,0
"41",2.9,"Ac",2023-09-29,2023,"590","Nutrient Management","CStwP","Crop","{012D5065-243A-4E76-8C2A-0CB069DA2BD2}",2.9,"170701020308","Other source","yes","no",1,1,0
"42",2.9,"Ac",2021-09-30,2021,"E590B","Reduce risks of nutrient loss to surface water by utilizing precision agriculture technologies","CStwP","Crop","{012D5065-243A-4E76-8C2A-0CB069DA2BD2}",2.9,"170701020308","Other source","yes","no",1,1,0
"43",2.9,"Ac",2022-09-30,2022,"E590B","Reduce risks of nutrient loss to surface water by utilizing precision agriculture technologies","CStwP","Crop","{012D5065-243A-4E76-8C2A-0CB069DA2BD2}",2.9,"170701020308","Other source","yes","no",1,1,0
"44",2.9,"Ac",2023-09-29,2023,"E590B","Reduce risks of nutrient loss to surface water by utilizing precision agriculture technologies","CStwP","Crop","{012D5065-243A-4E76-8C2A-0CB069DA2BD2}",2.9,"170701020308","Other source","yes","no",1,1,0
"45",2.9,"Ac",2021-09-30,2021,"E595A","Reduce risk of pesticides in surface water by utilizing precision pesticide application techniques","CStwP","Crop","{012D5065-243A-4E76-8C2A-0CB069DA2BD2}",2.9,"170701020308","Other source","yes","no",1,1,0
"46",2.9,"Ac",2022-09-30,2022,"E595A","Reduce risk of pesticides in surface water by utilizing precision pesticide application techniques","CStwP","Crop","{012D5065-243A-4E76-8C2A-0CB069DA2BD2}",2.9,"170701020308","Other source","yes","no",1,1,0
"47",2.9,"Ac",2023-09-29,2023,"E595A","Reduce risk of pesticides in surface water by utilizing precision pesticide application techniques","CStwP","Crop","{012D5065-243A-4E76-8C2A-0CB069DA2BD2}",2.9,"170701020308","Other source","yes","no",1,1,0
"48",133.2,"Ac",2021-05-14,2021,"345","Residue and Tillage Management, Reduced Till","CTA-GENRL","Crop","{01403643-7828-41D0-988C-F4F3BF55E847}",133.2,"170701020501","Conservation District","no","no",1,1,0
"49",98.5,"Ac",2023-09-30,2023,"E590B","Reduce risks of nutrient loss to surface water by utilizing precision agriculture technologies","CStwP","Crop","{014E6AA7-5008-46A6-9BDA-8B45EA32AD3B}",98.5,"170601100101","Other source","no","no",1,1,0
"50",1,"Ac",2020-09-28,2020,"327","Conservation Cover","CTA-GENRL","Crop","{0157F3C1-4D76-4E31-B113-6B96CECFBA8E}",1,"170601070608","NRCS","yes","yes",1,1,0
"51",1,"Ac",2020-09-28,2020,"472","Access Control","CTA-GENRL","Crop","{0157F3C1-4D76-4E31-B113-6B96CECFBA8E}",1,"170601070608","NRCS","yes","yes",1,1,0
"52",113.9,"Ac",2009-10-30,2010,"327","Conservation Cover","CRP","Crop","{01686C92-FBFE-4834-AA13-EC70952388A6}",113.9,"170601100102","NRCS","yes","no",1,1,0
"53",113.9,"Ac",2014-10-30,2015,"327","Conservation Cover","CRP","Crop","{01686C92-FBFE-4834-AA13-EC70952388A6}",113.9,"170601100102","NRCS","yes","no",1,1,0
"54",113.9,"Ac",2009-10-30,2010,"472","Access Control","CRP","Crop","{01686C92-FBFE-4834-AA13-EC70952388A6}",113.9,"170601100102","NRCS","no","no",1,1,0
"55",113.9,"Ac",2009-10-30,2010,"645","Upland Wildlife Habitat Management","CRP","Crop","{01686C92-FBFE-4834-AA13-EC70952388A6}",113.9,"170601100102","NRCS","no","no",1,1,0
"56",82.4,"Ac",2017-01-18,2017,"327","Conservation Cover","CRP","Crop","{01AA8EC6-5ECB-41B2-A886-B54192B29F0B}",82.4,"170601070805","NRCS","yes","yes",1,1,0
"57",82.4,"Ac",2016-10-30,2017,"472","Access Control","CRP","Crop","{01AA8EC6-5ECB-41B2-A886-B54192B29F0B}",82.4,"170601070805","NRCS","no","no",1,1,0
"58",71.8,"Ac",2010-09-19,2010,"AIR04","Use drift reducing nozzles, low pressures, lower boom height and adjuvants to reduce pesticide drift","CStwP","Crop","{01FC6C7C-F960-41A3-84FD-B050394FCD84}",71.8,"170701020306","NRCS","yes","no",1,1,0
"59",71.8,"Ac",2012-09-21,2012,"AIR04","Use drift reducing nozzles, low pressures, lower boom height and adjuvants to reduce pesticide drift","CStwP","Crop","{01FC6C7C-F960-41A3-84FD-B050394FCD84}",71.8,"170701020306","NRCS","yes","no",1,1,0
"60",71.8,"Ac",2013-09-25,2013,"AIR04","Use drift reducing nozzles, low pressures, lower boom height and adjuvants to reduce pesticide drift","CStwP","Crop","{01FC6C7C-F960-41A3-84FD-B050394FCD84}",71.8,"170701020306","NRCS","yes","no",1,1,0
"61",71.8,"Ac",2014-08-26,2014,"AIR04","Use drift reducing nozzles, low pressures, lower boom height and adjuvants to reduce pesticide drift","CSP","Crop","{01FC6C7C-F960-41A3-84FD-B050394FCD84}",71.8,"170701020306","NRCS","yes","no",1,1,0
"62",71.8,"Ac",2015-09-20,2015,"AIR04","Use drift reducing nozzles, low pressures, lower boom height and adjuvants to reduce pesticide drift","CSP","Crop","{01FC6C7C-F960-41A3-84FD-B050394FCD84}",71.8,"170701020306","NRCS","yes","no",1,1,0
"63",40,"Ac",2008-08-20,2008,"342","Critical Area Planting","CTA-GENRL","Forest","{020185F5-DBCC-40EC-BD99-CE595725F7EE}",188.5,"170701020302","NRCS","no","no",1,1,0
"64",40,"Ac",2009-09-30,2009,"490","Tree/Shrub Site Preparation","CTA-GENRL","Forest","{020185F5-DBCC-40EC-BD99-CE595725F7EE}",188.5,"170701020302","NRCS","no","no",1,1,0
"65",40,"Ac",2009-09-30,2009,"612","Tree/Shrub Establishment","CTA-GENRL","Forest","{020185F5-DBCC-40EC-BD99-CE595725F7EE}",188.5,"170701020302","NRCS","no","no",1,1,0
"66",40,"Ac",2008-06-02,2008,"666","Forest Stand Improvement","EQIP","Forest","{020185F5-DBCC-40EC-BD99-CE595725F7EE}",188.5,"170701020302","NRCS","no","no",1,1,0
"67",90.9,"Ac",2006-03-30,2006,"327","Conservation Cover","CRP","Crop","{025B1374-FC55-4FFD-BE93-AEDFF0CF2440}",90.9,"170701020601","NRCS","no","no",1,1,0
"68",90.9,"Ac",2006-03-30,2006,"472","Access Control","CRP","Crop","{025B1374-FC55-4FFD-BE93-AEDFF0CF2440}",90.9,"170701020601","NRCS","no","no",1,1,0
"69",90.9,"Ac",2006-03-30,2006,"645","Upland Wildlife Habitat Management","CRP","Crop","{025B1374-FC55-4FFD-BE93-AEDFF0CF2440}",90.9,"170701020601","NRCS","no","no",1,1,0
"70",345.4,"Ac",2023-05-15,2023,"315","Herbaceous Weed Treatment","EQIP","Range","{02624E1D-B354-47D0-9D3A-3B8E1020C66F}",345.4,"170601070701","Other source","no","no",1,1,0
"71",217.5,"Ac",2023-09-15,2023,"590","Nutrient Management","CTA-GENRL","Crop","{027DF6A4-38A1-40A7-90F2-CAFE91793B28}",117.09,"170701020501","NRCS","yes","yes",1,1,0
"72",87.6,"Ac",2023-09-28,2023,"E590A","Improving nutrient uptake efficiency and reducing risk of nutrient losses","CStwP","Crop","{02A63544-B547-446E-B533-DF7933EAA181}",87.6,"170601070701","Other source","no","no",1,1,0
"73",87.6,"Ac",2022-10-28,2023,"E595B","Reduce risk of pesticides in water and air by utilizing IPM PAMS techniques","CStwP","Crop","{02A63544-B547-446E-B533-DF7933EAA181}",87.6,"170601070701","Other source","yes","yes",1,1,0
"74",5.6,"Ac",2017-01-24,2017,"327","Conservation Cover","CRP","Crop","{02ADFE86-AF75-41A1-95A1-BDFF17FD7F6E}",5.6,"170701020307","NRCS","no","no",1,1,0
"75",5.6,"Ac",2013-10-30,2014,"472","Access Control","CRP","Crop","{02ADFE86-AF75-41A1-95A1-BDFF17FD7F6E}",5.6,"170701020307","NRCS","no","no",1,1,0
"76",0.7,"Ac",2007-02-17,2007,"342","Critical Area Planting","CRP","Other Rural Land","{02B49F26-2310-4F14-B5AD-89C18E426793}",0.9,"170701020402","NRCS","no","no",1,1,0
"77",0.7,"Ac",2007-02-17,2007,"391","Riparian Forest Buffer","CRP","Other Rural Land","{02B49F26-2310-4F14-B5AD-89C18E426793}",0.9,"170701020402","NRCS","no","no",1,1,0
"78",0.7,"Ac",2007-02-17,2007,"472","Access Control","CRP","Other Rural Land","{02B49F26-2310-4F14-B5AD-89C18E426793}",0.9,"170701020402","NRCS","no","no",1,1,0
"79",0.9,"Ac",2007-02-17,2007,"612","Tree/Shrub Establishment","CRP","Other Rural Land","{02B49F26-2310-4F14-B5AD-89C18E426793}",0.9,"170701020402","NRCS","no","no",1,1,0
"80",0.9,"Ac",2007-02-17,2007,"645","Upland Wildlife Habitat Management","CRP","Other Rural Land","{02B49F26-2310-4F14-B5AD-89C18E426793}",0.9,"170701020402","NRCS","no","no",1,1,0
"81",3.3,"Ac",2017-01-26,2017,"327","Conservation Cover","CRP","Crop","{032BB47D-CB0D-40B2-A55B-2BBE706B9251}",3.3,"170701020307","NRCS","no","no",1,1,0
"82",3.3,"Ac",2013-10-30,2014,"472","Access Control","CRP","Crop","{032BB47D-CB0D-40B2-A55B-2BBE706B9251}",3.3,"170701020307","NRCS","no","no",1,1,0
"83",329.3,"Ac",2017-01-25,2017,"327","Conservation Cover","CRP","Crop","{032E172B-3D49-4ADA-B812-922B4622E177}",329.3,"170701020307","NRCS","no","no",1,1,0
"84",329.3,"Ac",2013-10-30,2014,"472","Access Control","CRP","Crop","{032E172B-3D49-4ADA-B812-922B4622E177}",329.3,"170701020307","NRCS","no","no",1,1,0
"85",16.1,"Ac",2006-08-31,2006,"327","Conservation Cover","CRP","Associated Ag Land","{0336B88F-AE46-48FC-8C14-EA2E80B6F7DD}",16.1,"170601070608","NRCS","yes","yes",1,1,0
"86",16.1,"Ac",2006-08-31,2006,"472","Access Control","CRP","Associated Ag Land","{0336B88F-AE46-48FC-8C14-EA2E80B6F7DD}",16.1,"170601070608","NRCS","no","no",1,1,0
"87",16.1,"Ac",2006-08-31,2006,"595","Pest Management Conservation System","CRP","Associated Ag Land","{0336B88F-AE46-48FC-8C14-EA2E80B6F7DD}",16.1,"170601070608","NRCS","no","no",1,1,0
"88",16.1,"Ac",2006-08-31,2006,"645","Upland Wildlife Habitat Management","CRP","Associated Ag Land","{0336B88F-AE46-48FC-8C14-EA2E80B6F7DD}",16.1,"170601070608","NRCS","no","no",1,1,0
"89",18.8,"Ac",2006-08-31,2006,"327","Conservation Cover","CRP","Crop","{034BB8B0-DA16-410E-B07C-4A93B2553419}",18.8,"170601070607","NRCS","yes","yes",1,1,0
"90",18.8,"Ac",2017-01-24,2017,"327","Conservation Cover","CRP","Crop","{034BB8B0-DA16-410E-B07C-4A93B2553419}",18.8,"170601070607","NRCS","yes","yes",1,1,0
"91",18.8,"Ac",2006-08-31,2006,"472","Access Control","CRP","Crop","{034BB8B0-DA16-410E-B07C-4A93B2553419}",18.8,"170601070607","NRCS","yes","no",1,1,0
"92",18.8,"Ac",2016-10-30,2017,"472","Access Control","CRP","Crop","{034BB8B0-DA16-410E-B07C-4A93B2553419}",18.8,"170601070607","NRCS","yes","no",1,1,0
"93",18.8,"Ac",2006-08-31,2006,"595","Pest Management Conservation System","CRP","Crop","{034BB8B0-DA16-410E-B07C-4A93B2553419}",18.8,"170601070607","NRCS","no","no",1,1,0
"94",18.8,"Ac",2006-08-31,2006,"645","Upland Wildlife Habitat Management","CRP","Crop","{034BB8B0-DA16-410E-B07C-4A93B2553419}",18.8,"170601070607","NRCS","no","no",1,1,0
"95",7.3,"Ac",2012-10-01,2013,"327","Conservation Cover","CRP","Crop","{036B71AD-79AA-453E-8E75-966C3E3928FC}",7.3,"170601070804","NRCS","yes","yes",1,1,0
"96",7.3,"Ac",2012-10-01,2013,"472","Access Control","CRP","Crop","{036B71AD-79AA-453E-8E75-966C3E3928FC}",7.3,"170601070804","NRCS","no","no",1,1,0
"97",7.3,"Ac",2012-10-01,2013,"645","Upland Wildlife Habitat Management","CRP","Crop","{036B71AD-79AA-453E-8E75-966C3E3928FC}",7.3,"170601070804","NRCS","no","no",1,1,0
"98",58.6,"Ac",2023-09-29,2023,"595","Pest Management Conservation System","CStwP","Crop","{037777F3-07D7-4162-BBB6-41855C27208F}",58.6,"170601070704","NRCS","no","no",1,1,0
"99",36.8,"Ac",2020-09-01,2020,"345","Residue and Tillage Management, Reduced Till","CTA-GENRL","Crop","{037D71A0-DD29-4214-B17F-3BB098E79037}",36.92,"170701020308","NRCS","no","no",1,1,0
"100",36.8,"Ac",2013-09-25,2013,"AIR04","Use drift reducing nozzles, low pressures, lower boom height and adjuvants to reduce pesticide drift","CSP","Crop","{037D71A0-DD29-4214-B17F-3BB098E79037}",36.92,"170701020308","NRCS","yes","no",1,1,0
"101",36.8,"Ac",2014-08-26,2014,"AIR04","Use drift reducing nozzles, low pressures, lower boom height and adjuvants to reduce pesticide drift","CSP","Crop","{037D71A0-DD29-4214-B17F-3BB098E79037}",36.92,"170701020308","NRCS","yes","no",1,1,0
"102",36.8,"Ac",2015-10-01,2016,"AIR04","Use drift reducing nozzles, low pressures, lower boom height and adjuvants to reduce pesticide drift","CSP","Crop","{037D71A0-DD29-4214-B17F-3BB098E79037}",36.92,"170701020308","NRCS","yes","yes",1,1,0
"103",56.1,"Ac",2012-10-11,2013,"327","Conservation Cover","CRP","Crop","{038A16B1-D15A-4FC5-8E4D-3528A185A794}",56.1,"170601070504","NRCS","yes","yes",1,1,0
"104",56.1,"Ac",2022-07-05,2022,"327","Conservation Cover","CTA-GENRL","Crop","{038A16B1-D15A-4FC5-8E4D-3528A185A794}",56.1,"170601070504","NRCS","yes","yes",1,1,0
"105",56.1,"Ac",2012-10-11,2013,"472","Access Control","CRP","Crop","{038A16B1-D15A-4FC5-8E4D-3528A185A794}",56.1,"170601070504","NRCS","yes","no",1,1,0
"106",56.1,"Ac",2022-07-05,2022,"472","Access Control","CTA-GENRL","Crop","{038A16B1-D15A-4FC5-8E4D-3528A185A794}",56.1,"170601070504","NRCS","yes","yes",1,1,0
"107",1.5,"Ac",2023-09-01,2023,"WQL09","Apply phosphorus fertilizer below soil surface","CStwP","Other Rural Land","{03E13A07-770B-48F3-8701-89DB2BB737D2}",1.5,"170701020501","NRCS","yes","yes",1,1,0
"108",1.5,"Ac",2023-09-01,2023,"WQL13","High level Integrated Pest Management to reduce pesticide environmental risk","CStwP","Other Rural Land","{03E13A07-770B-48F3-8701-89DB2BB737D2}",1.5,"170701020501","NRCS","yes","yes",1,1,0
"109",3.9,"Ac",2006-09-22,2006,"391","Riparian Forest Buffer","CRP","Other Rural Land","{03F66BFF-3263-43BC-BA99-D7D8D7937415}",3.9,"170701020307","NRCS","no","no",1,1,0
"110",3.9,"Ac",2006-09-22,2006,"472","Access Control","CRP","Other Rural Land","{03F66BFF-3263-43BC-BA99-D7D8D7937415}",3.9,"170701020307","NRCS","no","no",1,1,0
"111",1,"Ac",2006-09-22,2006,"484","Mulching","CRP","Other Rural Land","{03F66BFF-3263-43BC-BA99-D7D8D7937415}",3.9,"170701020307","NRCS","no","no",1,1,0
"112",3.9,"Ac",2005-10-30,2006,"595","Pest Management Conservation System","CRP","Other Rural Land","{03F66BFF-3263-43BC-BA99-D7D8D7937415}",3.9,"170701020307","NRCS","no","no",1,1,0
"113",1,"Ac",2006-09-22,2006,"612","Tree/Shrub Establishment","CRP","Other Rural Land","{03F66BFF-3263-43BC-BA99-D7D8D7937415}",3.9,"170701020307","NRCS","no","no",1,1,0
"114",3.9,"Ac",2006-09-22,2006,"645","Upland Wildlife Habitat Management","CRP","Other Rural Land","{03F66BFF-3263-43BC-BA99-D7D8D7937415}",3.9,"170701020307","NRCS","no","no",1,1,0
"115",56.9,"Ac",2008-12-01,2009,"590","Nutrient Management","EQIP","Crop","{0409FCF5-2178-465F-ABD8-5B36E30F5E89}",56.9,"170701020501","NRCS","yes","no",1,1,0
"116",56.9,"Ac",2009-11-17,2010,"590","Nutrient Management","EQIP","Crop","{0409FCF5-2178-465F-ABD8-5B36E30F5E89}",56.9,"170701020501","NRCS","yes","no",1,1,0
"117",56.9,"Ac",2008-12-01,2009,"595","Pest Management Conservation System","EQIP","Crop","{0409FCF5-2178-465F-ABD8-5B36E30F5E89}",56.9,"170701020501","NRCS","yes","no",1,1,0
"118",56.9,"Ac",2009-11-17,2010,"595","Pest Management Conservation System","EQIP","Crop","{0409FCF5-2178-465F-ABD8-5B36E30F5E89}",56.9,"170701020501","NRCS","yes","no",1,1,0
"119",55.4,"Ac",2011-08-30,2011,"327","Conservation Cover","CRP","Crop","{0439CDDA-7410-48BE-A763-44EC96B50743}",55.4,"170701020305","NRCS","no","no",1,1,0
"120",307,"Ac",2013-10-30,2014,"328","Conservation Crop Rotation","CTA-GENRL","Crop","{043ECA49-F8B7-48B7-9BAE-EC457BB8A550}",307,"170701020401","NRCS","no","no",1,1,0
"121",307,"Ac",2013-10-30,2014,"345","Residue and Tillage Management, Reduced Till","CTA-GENRL","Crop","{043ECA49-F8B7-48B7-9BAE-EC457BB8A550}",307,"170701020401","NRCS","no","no",1,1,0
"122",87.3,"Ac",2020-09-28,2020,"327","Conservation Cover","CTA-GENRL","Crop","{044375EF-52F1-4306-815D-CCC68B565F79}",87.3,"170601070608","NRCS","yes","yes",1,1,0
"123",87.3,"Ac",2020-09-28,2020,"472","Access Control","CTA-GENRL","Crop","{044375EF-52F1-4306-815D-CCC68B565F79}",87.3,"170601070608","NRCS","yes","yes",1,1,0
"124",15.3,"Ac",2017-01-24,2017,"327","Conservation Cover","CTA-GENRL","Crop","{04791F40-5AE9-413D-83D0-C828A8007873}",15.3,"170701020501","NRCS","yes","yes",1,1,0
"125",15.3,"Ac",2016-10-30,2017,"472","Access Control","CTA-GENRL","Crop","{04791F40-5AE9-413D-83D0-C828A8007873}",15.3,"170701020501","NRCS","no","no",1,1,0
"126",58.8,"Ac",2010-10-29,2011,"590","Nutrient Management","EQIP","Crop","{04AAEEBE-9E24-4639-B39D-578478F2FB83}",58.8,"170701020306","NRCS","yes","no",1,1,0
"127",58.8,"Ac",2012-05-14,2012,"590","Nutrient Management","EQIP","Crop","{04AAEEBE-9E24-4639-B39D-578478F2FB83}",58.8,"170701020306","NRCS","yes","no",1,1,0
"128",58.8,"Ac",2010-10-29,2011,"595","Pest Management Conservation System","EQIP","Crop","{04AAEEBE-9E24-4639-B39D-578478F2FB83}",58.8,"170701020306","NRCS","yes","no",1,1,0
"129",58.8,"Ac",2011-11-09,2012,"595","Pest Management Conservation System","EQIP","Crop","{04AAEEBE-9E24-4639-B39D-578478F2FB83}",58.8,"170701020306","NRCS","yes","no",1,1,0
"130",0.4,"Ac",2017-01-26,2017,"327","Conservation Cover","CTA-GENRL","Crop","{04E3B157-39B5-40C9-89F4-24A078CD1895}",0.4,"170601070701","NRCS","yes","yes",1,1,0
"131",0.4,"Ac",2016-10-30,2017,"472","Access Control","CTA-GENRL","Crop","{04E3B157-39B5-40C9-89F4-24A078CD1895}",0.4,"170601070701","NRCS","no","no",1,1,0
