"Study_ID","Study_Name","Location_ID","Study_Specific_Location_ID","Location_Name","Instrument_ID","Field_Collection_Type","Field_Collector","Time_Zone","Field_Collection_Start_Date_Time","Field_Collection_End_Date_Time","Field_Collection_Reference_Point","Field_Collection_Upper_Depth","Field_Collection_Lower_Depth","Field_Collection_Depth_Units","Sample_Matrix","Sample_Source","Result_Parameter_Name","Result_Value","Result_Value_Units","Result_Data_Qualifier","Result_Data_Qualifier_Description","Result_Comment","Derivation_Method","Derivation_Method_Description","Base_Parameter_Name","Base_Result_Method","Base_Result_Method_Description","Base_Measurement_Interval","Time_Basis","Statistical_Basis","Partial_Metric_Flag","Auto_Calculated_Flag","Sample_Size","Expected_Data_Percent","Data_Qualified_Flag","Study_ID_Alias","Result_Data_Review_Status","Calculated_Latitude_Decimal_Degrees_NAD83HARN","Calculated_Longitude_Decimal_Degrees_NAD83HARN","Record_Created_On","Calculated_Result_System_ID"
"AMS005","Continuous Stream Temperature Monitoring","35B060","35B060","TUANNON RIVER AT POWERS","Tidbit_10225303","Measurement","WA Dept of Ecology","PST - Pacific Standard Time (GMT-8)",10/11/2014 1:30:00 PM,,"",,,"","AIR/GAS","Outdoor Air","Temperature, air (daily maximum)","21.485","deg C","","","","DailyMaximum","Calculated maximum daily value from a specific set of data.  The specific set of data is defined by: batch submitted to EIM, Study, Location, Parameter, Result Method, Depth, Instrument used for collection, Unit of Measure, and determined timeseries interval.  This calculation is run as part of a nightly automated EIM process.","Temperature, air","TEMPLOGGER","Temperature by data logger",00:30:00,"Daily","Maximum","N","Y",48,100.00,"N","","Reviewed",46.5381991606041,-118.156069764337,7/18/2019 11:45:37 PM,1086061605
"AMS005","Continuous Stream Temperature Monitoring","35B060","35B060","TUANNON RIVER AT POWERS","Tidbit_10225303","Measurement","WA Dept of Ecology","PST - Pacific Standard Time (GMT-8)",3/6/2015 4:00:00 PM,,"",,,"","AIR/GAS","Outdoor Air","Temperature, air (daily maximum)","14.122","deg C","","","","DailyMaximum","Calculated maximum daily value from a specific set of data.  The specific set of data is defined by: batch submitted to EIM, Study, Location, Parameter, Result Method, Depth, Instrument used for collection, Unit of Measure, and determined timeseries interval.  This calculation is run as part of a nightly automated EIM process.","Temperature, air","TEMPLOGGER","Temperature by data logger",00:30:00,"Daily","Maximum","N","Y",48,100.00,"N","","Reviewed",46.5381991606041,-118.156069764337,7/18/2019 11:45:37 PM,1086061280
"AMS005","Continuous Stream Temperature Monitoring","35B060","35B060","TUANNON RIVER AT POWERS","Tidbit_10225303","Measurement","WA Dept of Ecology","PST - Pacific Standard Time (GMT-8)",2/28/2015 4:00:00 PM,,"",,,"","AIR/GAS","Outdoor Air","Temperature, air (daily maximum)","9.682","deg C","","","","DailyMaximum","Calculated maximum daily value from a specific set of data.  The specific set of data is defined by: batch submitted to EIM, Study, Location, Parameter, Result Method, Depth, Instrument used for collection, Unit of Measure, and determined timeseries interval.  This calculation is run as part of a nightly automated EIM process.","Temperature, air","TEMPLOGGER","Temperature by data logger",00:30:00,"Daily","Maximum","N","Y",48,100.00,"N","","Reviewed",46.5381991606041,-118.156069764337,7/18/2019 11:45:37 PM,1086061275
"AMS005","Continuous Stream Temperature Monitoring","35B060","35B060","TUANNON RIVER AT POWERS","Tidbit_10225303","Measurement","WA Dept of Ecology","PST - Pacific Standard Time (GMT-8)",3/9/2015 3:00:00 PM,,"",,,"","AIR/GAS","Outdoor Air","Temperature, air (daily maximum)","18.105","deg C","","","","DailyMaximum","Calculated maximum daily value from a specific set of data.  The specific set of data is defined by: batch submitted to EIM, Study, Location, Parameter, Result Method, Depth, Instrument used for collection, Unit of Measure, and determined timeseries interval.  This calculation is run as part of a nightly automated EIM process.","Temperature, air","TEMPLOGGER","Temperature by data logger",00:30:00,"Daily","Maximum","N","Y",48,100.00,"N","","Reviewed",46.5381991606041,-118.156069764337,7/18/2019 11:45:37 PM,1086061211
"AMS005","Continuous Stream Temperature Monitoring","35B060","35B060","TUANNON RIVER AT POWERS","Tidbit_10225303","Measurement","WA Dept of Ecology","PST - Pacific Standard Time (GMT-8)",3/26/2015 4:30:00 PM,,"",,,"","AIR/GAS","Outdoor Air","Temperature, air (daily maximum)","19.674","deg C","","","","DailyMaximum","Calculated maximum daily value from a specific set of data.  The specific set of data is defined by: batch submitted to EIM, Study, Location, Parameter, Result Method, Depth, Instrument used for collection, Unit of Measure, and determined timeseries interval.  This calculation is run as part of a nightly automated EIM process.","Temperature, air","TEMPLOGGER","Temperature by data logger",00:30:00,"Daily","Maximum","N","Y",48,100.00,"N","","Reviewed",46.5381991606041,-118.156069764337,7/18/2019 11:45:37 PM,1086060892
"AMS005","Continuous Stream Temperature Monitoring","35B060","35B060","TUANNON RIVER AT POWERS","Tidbit_10225303","Measurement","WA Dept of Ecology","PST - Pacific Standard Time (GMT-8)",11/2/2014 2:30:00 PM,,"",,,"","AIR/GAS","Outdoor Air","Temperature, air (daily maximum)","12.34","deg C","","","","DailyMaximum","Calculated maximum daily value from a specific set of data.  The specific set of data is defined by: batch submitted to EIM, Study, Location, Parameter, Result Method, Depth, Instrument used for collection, Unit of Measure, and determined timeseries interval.  This calculation is run as part of a nightly automated EIM process.","Temperature, air","TEMPLOGGER","Temperature by data logger",00:30:00,"Daily","Maximum","N","Y",48,100.00,"N","","Reviewed",46.5381991606041,-118.156069764337,7/18/2019 11:45:37 PM,1086065805
"AMS005","Continuous Stream Temperature Monitoring","35B060","35B060","TUANNON RIVER AT POWERS","Tidbit_10225303","Measurement","WA Dept of Ecology","PST - Pacific Standard Time (GMT-8)",3/19/2015 2:00:00 PM,,"",,,"","AIR/GAS","Outdoor Air","Temperature, air (daily maximum)","16.892","deg C","","","","DailyMaximum","Calculated maximum daily value from a specific set of data.  The specific set of data is defined by: batch submitted to EIM, Study, Location, Parameter, Result Method, Depth, Instrument used for collection, Unit of Measure, and determined timeseries interval.  This calculation is run as part of a nightly automated EIM process.","Temperature, air","TEMPLOGGER","Temperature by data logger",00:30:00,"Daily","Maximum","N","Y",48,100.00,"N","","Reviewed",46.5381991606041,-118.156069764337,7/18/2019 11:45:37 PM,1086065795
"AMS005","Continuous Stream Temperature Monitoring","35B060","35B060","TUANNON RIVER AT POWERS","Tidbit_10225303","Measurement","WA Dept of Ecology","PST - Pacific Standard Time (GMT-8)",12/6/2014 5:30:00 PM,,"",,,"","AIR/GAS","Outdoor Air","Temperature, air (daily maximum)","5.745","deg C","","","","DailyMaximum","Calculated maximum daily value from a specific set of data.  The specific set of data is defined by: batch submitted to EIM, Study, Location, Parameter, Result Method, Depth, Instrument used for collection, Unit of Measure, and determined timeseries interval.  This calculation is run as part of a nightly automated EIM process.","Temperature, air","TEMPLOGGER","Temperature by data logger",00:30:00,"Daily","Maximum","N","Y",48,100.00,"N","","Reviewed",46.5381991606041,-118.156069764337,7/18/2019 11:45:37 PM,1086065786
"AMS005","Continuous Stream Temperature Monitoring","35B060","35B060","TUANNON RIVER AT POWERS","Tidbit_10225303","Measurement","WA Dept of Ecology","PST - Pacific Standard Time (GMT-8)",6/25/2015 5:00:00 PM,,"",,,"","AIR/GAS","Outdoor Air","Temperature, air (daily maximum)","31.408","deg C","","","","DailyMaximum","Calculated maximum daily value from a specific set of data.  The specific set of data is defined by: batch submitted to EIM, Study, Location, Parameter, Result Method, Depth, Instrument used for collection, Unit of Measure, and determined timeseries interval.  This calculation is run as part of a nightly automated EIM process.","Temperature, air","TEMPLOGGER","Temperature by data logger",00:30:00,"Daily","Maximum","N","Y",48,100.00,"N","","Reviewed",46.5381991606041,-118.156069764337,7/18/2019 11:45:37 PM,1086065773
"AMS005","Continuous Stream Temperature Monitoring","35B060","35B060","TUANNON RIVER AT POWERS","Tidbit_10225303","Measurement","WA Dept of Ecology","PST - Pacific Standard Time (GMT-8)",5/11/2015 4:00:00 PM,,"",,,"","AIR/GAS","Outdoor Air","Temperature, air (daily maximum)","21.557","deg C","","","","DailyMaximum","Calculated maximum daily value from a specific set of data.  The specific set of data is defined by: batch submitted to EIM, Study, Location, Parameter, Result Method, Depth, Instrument used for collection, Unit of Measure, and determined timeseries interval.  This calculation is run as part of a nightly automated EIM process.","Temperature, air","TEMPLOGGER","Temperature by data logger",00:30:00,"Daily","Maximum","N","Y",48,100.00,"N","","Reviewed",46.5381991606041,-118.156069764337,7/18/2019 11:45:37 PM,1086065751
"AMS005","Continuous Stream Temperature Monitoring","35B060","35B060","TUANNON RIVER AT POWERS","Tidbit_10225303","Measurement","WA Dept of Ecology","PST - Pacific Standard Time (GMT-8)",6/28/2015 3:30:00 PM,,"",,,"","AIR/GAS","Outdoor Air","Temperature, air (daily maximum)","39.772","deg C","","","","DailyMaximum","Calculated maximum daily value from a specific set of data.  The specific set of data is defined by: batch submitted to EIM, Study, Location, Parameter, Result Method, Depth, Instrument used for collection, Unit of Measure, and determined timeseries interval.  This calculation is run as part of a nightly automated EIM process.","Temperature, air","TEMPLOGGER","Temperature by data logger",00:30:00,"Daily","Maximum","N","Y",48,100.00,"N","","Reviewed",46.5381991606041,-118.156069764337,7/18/2019 11:45:37 PM,1086065053
"AMS005","Continuous Stream Temperature Monitoring","35B060","35B060","TUANNON RIVER AT POWERS","Tidbit_10225303","Measurement","WA Dept of Ecology","PST - Pacific Standard Time (GMT-8)",6/2/2015 5:00:00 PM,,"",,,"","AIR/GAS","Outdoor Air","Temperature, air (daily maximum)","24.315","deg C","","","","DailyMaximum","Calculated maximum daily value from a specific set of data.  The specific set of data is defined by: batch submitted to EIM, Study, Location, Parameter, Result Method, Depth, Instrument used for collection, Unit of Measure, and determined timeseries interval.  This calculation is run as part of a nightly automated EIM process.","Temperature, air","TEMPLOGGER","Temperature by data logger",00:30:00,"Daily","Maximum","N","Y",48,100.00,"N","","Reviewed",46.5381991606041,-118.156069764337,7/18/2019 11:45:37 PM,1086065007
"AMS005","Continuous Stream Temperature Monitoring","35B060","35B060","TUANNON RIVER AT POWERS","Tidbit_10225303","Measurement","WA Dept of Ecology","PST - Pacific Standard Time (GMT-8)",11/26/2014 1:00:00 PM,,"",,,"","AIR/GAS","Outdoor Air","Temperature, air (daily maximum)","13.473","deg C","","","","DailyMaximum","Calculated maximum daily value from a specific set of data.  The specific set of data is defined by: batch submitted to EIM, Study, Location, Parameter, Result Method, Depth, Instrument used for collection, Unit of Measure, and determined timeseries interval.  This calculation is run as part of a nightly automated EIM process.","Temperature, air","TEMPLOGGER","Temperature by data logger",00:30:00,"Daily","Maximum","N","Y",48,100.00,"N","","Reviewed",46.5381991606041,-118.156069764337,7/18/2019 11:45:37 PM,1086064881
"AMS005","Continuous Stream Temperature Monitoring","35B060","35B060","TUANNON RIVER AT POWERS","Tidbit_10225303","Measurement","WA Dept of Ecology","PST - Pacific Standard Time (GMT-8)",6/11/2015 4:00:00 PM,,"",,,"","AIR/GAS","Outdoor Air","Temperature, air (daily maximum)","31.153","deg C","","","","DailyMaximum","Calculated maximum daily value from a specific set of data.  The specific set of data is defined by: batch submitted to EIM, Study, Location, Parameter, Result Method, Depth, Instrument used for collection, Unit of Measure, and determined timeseries interval.  This calculation is run as part of a nightly automated EIM process.","Temperature, air","TEMPLOGGER","Temperature by data logger",00:30:00,"Daily","Maximum","N","Y",48,100.00,"N","","Reviewed",46.5381991606041,-118.156069764337,7/18/2019 11:45:37 PM,1086064870
"AMS005","Continuous Stream Temperature Monitoring","35B060","35B060","TUANNON RIVER AT POWERS","Tidbit_10225303","Measurement","WA Dept of Ecology","PST - Pacific Standard Time (GMT-8)",2/17/2015 3:00:00 PM,,"",,,"","AIR/GAS","Outdoor Air","Temperature, air (daily maximum)","8.841","deg C","","","","DailyMaximum","Calculated maximum daily value from a specific set of data.  The specific set of data is defined by: batch submitted to EIM, Study, Location, Parameter, Result Method, Depth, Instrument used for collection, Unit of Measure, and determined timeseries interval.  This calculation is run as part of a nightly automated EIM process.","Temperature, air","TEMPLOGGER","Temperature by data logger",00:30:00,"Daily","Maximum","N","Y",48,100.00,"N","","Reviewed",46.5381991606041,-118.156069764337,7/18/2019 11:45:37 PM,1086064831
"AMS005","Continuous Stream Temperature Monitoring","35B060","35B060","TUANNON RIVER AT POWERS","Tidbit_10225303","Measurement","WA Dept of Ecology","PST - Pacific Standard Time (GMT-8)",10/5/2014 3:30:00 PM,,"",,,"","AIR/GAS","Outdoor Air","Temperature, air (daily maximum)","23.617","deg C","","","","DailyMaximum","Calculated maximum daily value from a specific set of data.  The specific set of data is defined by: batch submitted to EIM, Study, Location, Parameter, Result Method, Depth, Instrument used for collection, Unit of Measure, and determined timeseries interval.  This calculation is run as part of a nightly automated EIM process.","Temperature, air","TEMPLOGGER","Temperature by data logger",00:30:00,"Daily","Maximum","N","Y",48,100.00,"N","","Reviewed",46.5381991606041,-118.156069764337,7/18/2019 11:45:37 PM,1086064822
"AMS005","Continuous Stream Temperature Monitoring","35B060","35B060","TUANNON RIVER AT POWERS","Tidbit_10225303","Measurement","WA Dept of Ecology","PST - Pacific Standard Time (GMT-8)",10/24/2014 3:00:00 PM,,"",,,"","AIR/GAS","Outdoor Air","Temperature, air (daily maximum)","14.098","deg C","","","","DailyMaximum","Calculated maximum daily value from a specific set of data.  The specific set of data is defined by: batch submitted to EIM, Study, Location, Parameter, Result Method, Depth, Instrument used for collection, Unit of Measure, and determined timeseries interval.  This calculation is run as part of a nightly automated EIM process.","Temperature, air","TEMPLOGGER","Temperature by data logger",00:30:00,"Daily","Maximum","N","Y",48,100.00,"N","","Reviewed",46.5381991606041,-118.156069764337,7/18/2019 11:45:37 PM,1086064812
"AMS005","Continuous Stream Temperature Monitoring","35B060","35B060","TUANNON RIVER AT POWERS","Tidbit_10225303","Measurement","WA Dept of Ecology","PST - Pacific Standard Time (GMT-8)",6/23/2015 3:30:00 PM,,"",,,"","AIR/GAS","Outdoor Air","Temperature, air (daily maximum)","28.891","deg C","","","","DailyMaximum","Calculated maximum daily value from a specific set of data.  The specific set of data is defined by: batch submitted to EIM, Study, Location, Parameter, Result Method, Depth, Instrument used for collection, Unit of Measure, and determined timeseries interval.  This calculation is run as part of a nightly automated EIM process.","Temperature, air","TEMPLOGGER","Temperature by data logger",00:30:00,"Daily","Maximum","N","Y",48,100.00,"N","","Reviewed",46.5381991606041,-118.156069764337,7/18/2019 11:45:37 PM,1086064799
"AMS005","Continuous Stream Temperature Monitoring","35B060","35B060","TUANNON RIVER AT POWERS","Tidbit_10225303","Measurement","WA Dept of Ecology","PST - Pacific Standard Time (GMT-8)",11/25/2014 7:30:00 AM,,"",,,"","AIR/GAS","Outdoor Air","Temperature, air (daily maximum)","11.273","deg C","","","","DailyMaximum","Calculated maximum daily value from a specific set of data.  The specific set of data is defined by: batch submitted to EIM, Study, Location, Parameter, Result Method, Depth, Instrument used for collection, Unit of Measure, and determined timeseries interval.  This calculation is run as part of a nightly automated EIM process.","Temperature, air","TEMPLOGGER","Temperature by data logger",00:30:00,"Daily","Maximum","N","Y",48,100.00,"N","","Reviewed",46.5381991606041,-118.156069764337,7/18/2019 11:45:37 PM,1086064798
"AMS005","Continuous Stream Temperature Monitoring","35B060","35B060","TUANNON RIVER AT POWERS","Tidbit_10225303","Measurement","WA Dept of Ecology","PST - Pacific Standard Time (GMT-8)",1/25/2015 3:30:00 PM,,"",,,"","AIR/GAS","Outdoor Air","Temperature, air (daily maximum)","9.435","deg C","","","","DailyMaximum","Calculated maximum daily value from a specific set of data.  The specific set of data is defined by: batch submitted to EIM, Study, Location, Parameter, Result Method, Depth, Instrument used for collection, Unit of Measure, and determined timeseries interval.  This calculation is run as part of a nightly automated EIM process.","Temperature, air","TEMPLOGGER","Temperature by data logger",00:30:00,"Daily","Maximum","N","Y",48,100.00,"N","","Reviewed",46.5381991606041,-118.156069764337,7/18/2019 11:45:37 PM,1086064738
"AMS005","Continuous Stream Temperature Monitoring","35B060","35B060","TUANNON RIVER AT POWERS","Tidbit_10225303","Measurement","WA Dept of Ecology","PST - Pacific Standard Time (GMT-8)",1/31/2015 12:00:00 AM,,"",,,"","AIR/GAS","Outdoor Air","Temperature, air (daily maximum)","4.61","deg C","","","","DailyMaximum","Calculated maximum daily value from a specific set of data.  The specific set of data is defined by: batch submitted to EIM, Study, Location, Parameter, Result Method, Depth, Instrument used for collection, Unit of Measure, and determined timeseries interval.  This calculation is run as part of a nightly automated EIM process.","Temperature, air","TEMPLOGGER","Temperature by data logger",00:30:00,"Daily","Maximum","N","Y",48,100.00,"N","","Reviewed",46.5381991606041,-118.156069764337,7/18/2019 11:45:37 PM,1086064727
"AMS005","Continuous Stream Temperature Monitoring","35B060","35B060","TUANNON RIVER AT POWERS","Tidbit_10225303","Measurement","WA Dept of Ecology","PST - Pacific Standard Time (GMT-8)",12/10/2014 7:00:00 PM,,"",,,"","AIR/GAS","Outdoor Air","Temperature, air (daily maximum)","15.557","deg C","","","","DailyMaximum","Calculated maximum daily value from a specific set of data.  The specific set of data is defined by: batch submitted to EIM, Study, Location, Parameter, Result Method, Depth, Instrument used for collection, Unit of Measure, and determined timeseries interval.  This calculation is run as part of a nightly automated EIM process.","Temperature, air","TEMPLOGGER","Temperature by data logger",00:30:00,"Daily","Maximum","N","Y",48,100.00,"N","","Reviewed",46.5381991606041,-118.156069764337,7/18/2019 11:45:37 PM,1086064720
