"","Acres","Irrigation","InitialSur","LastSurvey","DataSource","TRS","County","CoverCrop","ExactAcres","CropGroup","SHAPE_Leng","SHAPE_Area","AQ_Class","Orig_Class","DN","Orig_Cla_1","AQ1","Area_Ac"
"15",247,"None",2002-08-13,2021-12-31,"NASS","T09R37E2","Walla Walla",NA,246.985302115,"Cereal Grain",5892.53288609,999514.056101,"Crops - Dryland","Cereal Grain",82,"Cultivated Crops","Crops - Dryland",0.0578193046975984
"16",2,"None",2002-08-13,2021-12-31,"NASS","T09R37E5","Walla Walla",NA,2.16837876575,"Cereal Grain",427.25149064,8775.11753439,"Crops - Dryland","Cereal Grain",82,"Cultivated Crops","Crops - Dryland",0.0560474331554434
"17",116,"None",2003-10-23,2021-12-31,"NASS","T11R41E7","Garfield",NA,116.133823959,"Cereal Grain",4675.66244821,469976.911344,"Crops - Dryland","Cereal Grain",82,"Cultivated Crops","Crops - Dryland",0.126760544250869
"18",13,"None",2005-03-17,2021-12-31,"NASS","T08R38E4","Walla Walla",NA,13.049080162,"Cereal Grain",890.729262685,52807.7538598,"Crops - Dryland","Cereal Grain",82,"Cultivated Crops","Crops - Dryland",0.103577402675003
"19",107,"None",2003-10-22,2021-12-31,"NASS","T12R40E7","Garfield",NA,107.463046175,"Cereal Grain",3084.1117638,434887.518584,"Crops - Dryland","Cereal Grain",82,"Cultivated Crops","Crops - Dryland",0.286435091229325
"20",7,"None",2002-08-26,2021-12-31,"NASS","T10R36E36","Walla Walla",NA,6.63787110024,"Cereal Grain",955.928487666,26862.5112931,"Crops - Dryland","Cereal Grain",82,"Cultivated Crops","Crops - Dryland",0.141439440265536
"21",4,"None",2004-09-23,2021-12-31,"NASS","T10R36E25","Walla Walla",NA,3.88292719005,"Cereal Grain",626.68366789,15713.6488368,"Crops - Dryland","Cereal Grain",21,"Developed Open Space","Crops - Dryland",0.0112525988910801
"22",4,"None",2004-09-23,2021-12-31,"NASS","T10R36E25","Walla Walla",NA,3.88292719005,"Cereal Grain",626.68366789,15713.6488368,"Crops - Dryland","Cereal Grain",82,"Cultivated Crops","Crops - Dryland",0.0230878494733542
"23",75,"None",2002-08-13,2021-12-31,"NASS","T09R37E5","Walla Walla",NA,75.4392967578,"Cereal Grain",2718.5394517,305292.002586,"Crops - Dryland","Cereal Grain",82,"Cultivated Crops","Crops - Dryland",0.0579063133406755
"24",15,"None",2003-10-22,2021-12-31,"NASS","T09R37E1","Walla Walla",NA,14.5958751004,"Cereal Grain",1380.42645185,59067.4108906,"Crops - Dryland","Cereal Grain",82,"Cultivated Crops","Crops - Dryland",0.0425951052025482
"25",8,"None",2004-06-04,2021-12-31,"NASS","T12R40E6","Garfield",NA,7.78068991509,"Cereal Grain",868.819235559,31487.3349536,"Crops - Dryland","Cereal Grain",71,"Grasslands","Crops - Dryland",0.150884793282822
"26",167,"None",2004-09-23,2021-12-31,"NASS","T11R36E1","Walla Walla",NA,166.666650043,"Cereal Grain",7013.03896481,674476.003128,"Crops - Dryland","Cereal Grain",52,"Shrubland","Crops - Dryland",0.00927026786279755
"27",167,"None",2004-09-23,2021-12-31,"NASS","T11R36E1","Walla Walla",NA,166.666650043,"Cereal Grain",7013.03896481,674476.003128,"Crops - Dryland","Cereal Grain",82,"Cultivated Crops","Crops - Dryland",0.261382874594701
"28",17,"None",2004-10-20,2021-12-31,"NASS","T12R36E24","Walla Walla",NA,17.1413140689,"Cereal Grain",1062.34160486,69368.4369282,"Crops - Dryland","Cereal Grain",82,"Cultivated Crops","Crops - Dryland",0.00115569583941096
"29",22,"None",2004-09-22,2021-12-31,"NASS","T12R36E13","Walla Walla",NA,21.5527636357,"Other",1480.82783321,87220.9399397,"Crops - Dryland","Other",52,"Shrubland","Crops - Dryland",0.00492158068885993
"30",22,"None",2004-09-22,2021-12-31,"NASS","T12R36E13","Walla Walla",NA,21.5527636357,"Other",1480.82783321,87220.9399397,"Crops - Dryland","Other",71,"Grasslands","Crops - Dryland",0.348946201231314
"31",96,"None",2002-08-13,2021-12-31,"NASS","T09R37E6","Walla Walla",NA,96.0667501433,"Cereal Grain",4046.75159827,388768.344797,"Crops - Dryland","Cereal Grain",82,"Cultivated Crops","Crops - Dryland",0.0545639699139525
"32",9,"None",2004-08-25,2021-12-31,"NASS","T09R37E36","Walla Walla",NA,8.98844083495,"Vegetable",924.417473146,36374.9295203,"Crops - Dryland","Vegetable",82,"Cultivated Crops","Crops - Dryland",0.0454403979476644
"33",5,"None",2004-08-25,2021-12-31,"NASS","T08R38E5","Walla Walla",NA,4.89582856546,"Cereal Grain",728.542818651,19812.7152731,"Crops - Dryland","Cereal Grain",82,"Cultivated Crops","Crops - Dryland",0.107088617291707
"34",202,"None",2002-08-13,2021-12-31,"NASS","T09R37E5","Walla Walla",NA,202.37869953,"Cereal Grain",5472.78040897,818997.539949,"Crops - Dryland","Cereal Grain",82,"Cultivated Crops","Crops - Dryland",0.255921206599059
"35",4,"None",2005-03-17,2021-12-31,"NASS","T09R37E12","Walla Walla",NA,3.66974299353,"Cereal Grain",553.718903532,14850.9230019,"Crops - Dryland","Cereal Grain",82,"Cultivated Crops","Crops - Dryland",0.182867497969589
"36",4,"None",2005-03-17,2021-12-31,"NASS","T09R37E12","Walla Walla",NA,3.66974299353,"Cereal Grain",553.718903532,14850.9230019,"Crops - Dryland","Cereal Grain",21,"Developed Open Space","Crops - Dryland",0.0197394853034732
"37",23,"None",2004-10-20,2021-12-31,"NASS","T12R36E24","Walla Walla",NA,23.2797512634,"Cereal Grain",1642.48462981,94209.8109121,"Crops - Dryland","Cereal Grain",82,"Cultivated Crops","Crops - Dryland",0.133996548816459
"38",23,"None",2004-10-20,2021-12-31,"NASS","T12R36E24","Walla Walla",NA,23.2797512634,"Cereal Grain",1642.48462981,94209.8109121,"Crops - Dryland","Cereal Grain",71,"Grasslands","Crops - Dryland",0.00418423934931425
"39",21,"None",2005-03-17,2021-12-31,"NASS","T08R38E4","Walla Walla",NA,20.7408820839,"Cereal Grain",1573.68308215,83935.3718673,"Crops - Dryland","Cereal Grain",82,"Cultivated Crops","Crops - Dryland",0.198832596565953
"40",174,"None",2004-09-23,2021-12-31,"NASS","T11R36E25","Walla Walla",NA,173.877712251,"Cereal Grain",4332.47432529,703658.136537,"Crops - Dryland","Cereal Grain",82,"Cultivated Crops","Crops - Dryland",0.127016412763252
"41",21,"None",2003-10-22,2021-12-31,"NASS","T09R37E1","Walla Walla",NA,21.4743882777,"Cereal Grain",1189.66565219,86903.7661188,"Crops - Dryland","Cereal Grain",82,"Cultivated Crops","Crops - Dryland",0.0579732186127938
"42",119,"None",2004-08-25,2021-12-31,"NASS","T08R38E4","Walla Walla",NA,118.971662697,"Cereal Grain",3841.6723122,481461.237271,"Crops - Dryland","Cereal Grain",82,"Cultivated Crops","Crops - Dryland",0.229928904954119
"43",24,"None",2004-09-22,2021-12-31,"NASS","T13R36E36","Walla Walla",NA,23.5887753138,"Other",1769.96222118,95460.3868751,"Crops - Dryland","Other",82,"Cultivated Crops","Crops - Dryland",0.155444418685988
"44",101,"None",2004-08-25,2021-12-31,"NASS","T08R38E5","Walla Walla",NA,101.334439735,"Cereal Grain",2758.91535557,410085.92825,"Crops - Dryland","Cereal Grain",82,"Cultivated Crops","Crops - Dryland",0.510934575275512
"45",30,"None",2005-03-17,2021-12-31,"NASS","T08R38E2","Walla Walla",NA,30.2283180045,"Vegetable",2305.82649763,122329.662855,"Crops - Dryland","Vegetable",82,"Cultivated Crops","Crops - Dryland",0.105312578300937
"46",45,"None",2004-08-25,2021-12-31,"NASS","T09R37E13","Walla Walla",NA,45.3144862594,"Cereal Grain",2065.03435637,183381.219747,"Crops - Dryland","Cereal Grain",82,"Cultivated Crops","Crops - Dryland",0.259612239190746
"47",2,"None",2004-08-25,2021-12-31,"NASS","T09R37E24","Walla Walla",NA,1.97258808548,"Cereal Grain",425.520527827,7982.78076247,"Crops - Dryland","Cereal Grain",82,"Cultivated Crops","Crops - Dryland",0.0312652900019399
"48",74,"None",2004-09-22,2021-12-31,"NASS","T12R36E36","Walla Walla",NA,74.3441577743,"Other",3064.70314947,300860.132357,"Crops - Dryland","Other",71,"Grasslands","Crops - Dryland",0.239863528561643
"49",4,"None",2002-08-13,2021-12-31,"NASS","T09R37E2","Walla Walla",NA,3.79736381856,"Cereal Grain",513.267762981,15367.3861573,"Crops - Dryland","Cereal Grain",82,"Cultivated Crops","Crops - Dryland",0.0610272485520117
"50",297,"None",2004-09-22,2021-12-31,"NASS","T12R36E13","Walla Walla",NA,296.557115876,"Cereal Grain",6500.75551384,1200124.06899,"Crops - Dryland","Cereal Grain",52,"Shrubland","Crops - Dryland",0.00518822285065323
"51",297,"None",2004-09-22,2021-12-31,"NASS","T12R36E13","Walla Walla",NA,296.557115876,"Cereal Grain",6500.75551384,1200124.06899,"Crops - Dryland","Cereal Grain",82,"Cultivated Crops","Crops - Dryland",0.187869420313396
"52",75,"None",2004-08-25,2021-12-31,"NASS","T09R37E13","Walla Walla",NA,75.3737294085,"Cereal Grain",2662.93781518,305026.660937,"Crops - Dryland","Cereal Grain",82,"Cultivated Crops","Crops - Dryland",0.23536623593618
"53",4,"None",2004-08-25,2021-12-31,"NASS","T08R38E5","Walla Walla",NA,3.95836958989,"Cereal Grain",645.68826031,16018.9533971,"Crops - Dryland","Cereal Grain",82,"Cultivated Crops","Crops - Dryland",0.250604919510338
"54",6,"None",2004-08-25,2021-12-31,"NASS","T09R37E13","Walla Walla",NA,6.09924475878,"Cereal Grain",616.261338917,24682.7678238,"Crops - Dryland","Cereal Grain",82,"Cultivated Crops","Crops - Dryland",0.0629648731257041
"55",306,"None",2004-09-22,2021-12-31,"NASS","T12R36E36","Walla Walla",NA,305.949340447,"Other",6973.82160976,1238133.05332,"Crops - Dryland","Other",52,"Shrubland","Crops - Dryland",0.011784594337601
"56",306,"None",2004-09-22,2021-12-31,"NASS","T12R36E36","Walla Walla",NA,305.949340447,"Other",6973.82160976,1238133.05332,"Crops - Dryland","Other",52,"Shrubland","Crops - Dryland",0.0511313924461478
"57",306,"None",2004-09-22,2021-12-31,"NASS","T12R36E36","Walla Walla",NA,305.949340447,"Other",6973.82160976,1238133.05332,"Crops - Dryland","Other",52,"Shrubland","Crops - Dryland",0.0377758470949523
"58",306,"None",2004-09-22,2021-12-31,"NASS","T12R36E36","Walla Walla",NA,305.949340447,"Other",6973.82160976,1238133.05332,"Crops - Dryland","Other",82,"Cultivated Crops","Crops - Dryland",0.0438328384658032
"59",306,"None",2004-09-22,2021-12-31,"NASS","T12R36E36","Walla Walla",NA,305.949340447,"Other",6973.82160976,1238133.05332,"Crops - Dryland","Other",71,"Grasslands","Crops - Dryland",0.0316510074815149
"60",1,"None",2004-08-25,2021-12-31,"NASS","T09R37E13","Walla Walla",NA,0.55393648576,"Cereal Grain",252.828540407,2241.701425,"Crops - Dryland","Cereal Grain",82,"Cultivated Crops","Crops - Dryland",0.0101391835988788
"61",53,"None",2005-05-31,2021-12-31,"NASS","T12R40E34","Garfield",NA,53.0825058094,"Cereal Grain",1869.62250226,214817.279552,"Crops - Dryland","Cereal Grain",82,"Cultivated Crops","Crops - Dryland",0.284015989559136
