"","fid_1","OBJECTID","TNMID","MetaSource","LoadDate","AreaSqKm","AreaAcres","Name","States","HUC12","HUType","HUMod","ToHUC","Shape_Leng","Shape_Area","NHDPlusID","VPUID","SRP_NUM","SRP_NAME","SRP_Metric","SRP_ACRES","OID_","HUC_Acres","Mod_Ac_Wtr","Moderate_W","Severe_Ac_","Severe_Wtr","No_WtrEr","Acres_Weg","Perc_Weg","No_Weg","Notes","Source","RM_Elk_Per","Mule_Deer_","NW_WT_Deer","RN_Pheasan","WtrFowl_Pe","Cliff_Bluf","Chukar_Per","BH_Sheep_P","No_WtrEr_A","No_Weg_Ac","RM_Elk_Ac","Mule_Dr_Ac","NWWT_Dr_Ac","RN_Phea_Ac","WtrFowl_Ac","Cliff_Ac","Chuckar_Ac","BHSheep_Ac","Freshwater Emergent Wetland","Freshwater Forested/Shrub Wetland","Freshwater Pond","Lake","Other","Riverine","FLDACRE","GEOMOD","GEONR","GEOSEV","GEOSLI","GEONA"
"12",16,663,"{D62E2CB5-5ABD-479A-80AB-6B2F7CD54A92}",NA,"2013/01/18 07:09:21.000",99.18,24508.49,"Headwaters Tucannon River","WA","170601070601","S","TF","170601070603",0.608196181288362,0.011554241345748,55000600282200,"1706",0,NA,NA,0,0,9093.3513466,0,0,0,0,0,0,0,0,"Unavailable Data","NONE",0.181470849,0.177176833,0.594817081,0,0,0,0,0,0,0,1650.1782,1611.1312,5408.8807,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",17,664,"{13458BD7-8808-469D-AED7-A749E79BBEDC}",NA,"2013/01/18 07:09:21.000",65.82,16264.6,"Panjab Creek","WA","170601070602","S","TF","170601070603",0.444047483838717,0.007665195775893,55000600282200,"1706",0,NA,NA,0,0,16252.832053,0,0,0,0,0,0,0,0,"Unavailable Data","NONE
NONE",0.005200926,0,0.346792832,0,0,0,0,0,0,0,84.5298,0,5636.3657,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",18,665,"{526A5BA0-2F8F-4F5C-9B5B-9C03C4C8B752}",NA,"2013/01/18 07:09:21.000",89.39,22089.68,"Little Tucannon River-Tucannon River","WA","170601070603","S","TF","170601070606",0.574213306278757,0.01042898515646,55000600282200,"1706",0,NA,NA,0,0,22073.5808218,0,0,0,0,0,0,0,0,"Unavailable Data","NONE",0.839162008,0.717608008,0.986213258,0,0,0,0,0.10637794,0,0,18523.3104,15840.1784,21769.2581,0,0,0,0,2348.1421,4.53413192869124,5.38037943276158,26.2705206555242,0,2.9487961649418,3.50917017195395,270.316940108531,150.969909507611,993.397228935563,1919.34733128611,329.872465178552,0
"15",19,666,"{B8F6813A-3547-4908-8168-A37957DF3808}",NA,"2013/01/18 07:09:21.000",51.5,12727.02,"Cummings Creek","WA","170601070604","S","TF","170601070606",0.451633851004998,0.00601100660844,55000600282200,"1706",0,NA,NA,0,0,7502.1386177,0,0,0,0,0,0,0,0,"Unavailable Data","NONE",0.909839162,0.617986543,0.972531121,0,0,0,0,0.694696601,0,0,6825.7395,4636.2207,7296.0633,0,0,0,0,5211.7102,NA,NA,NA,NA,NA,NA,14.6253014556777,0,1633.13265937182,1575.40878197728,128.454523579185,5.14625004829206
"16",20,667,"{7026625D-A926-4D8C-9281-8E1CCCDC0ACC}",NA,"2013/01/18 07:09:21.000",41.59,10276.34,"Tumalum Creek","WA","170601070605","S","TF","170601070606",0.448548614547056,0.004857978566556,55000600282200,"1706",0,NA,NA,0,14,707.45,0.65,9e-04,530.23,0.7495,0.2496,0,0,1,"Severe Crop","WA613",0.628504225,0.867274543,0.888204787,0,0,0,0,0.000131425,176.5795,707.45,444.6353,613.5534,628.3605,0,0,0,0,0.093,NA,NA,NA,NA,NA,NA,16.9587778684634,0.64344382158919,148.437780742764,529.260023632211,27.8105639170792,1.24812218957891
"17",21,668,"{1FB4C6B4-B924-4FE9-B9D4-6B88602DB43F}",NA,"2013/01/18 07:09:21.000",51.43,12709.37,"Hartsock Grade-Tucannon River","WA","170601070606","S","TF","170601070608",0.482674763881557,0.006014096336248,55000600282200,"1706",0,NA,NA,0,13,11398.72,955.46,0.0838,9225.33,0.8093,0.1069,0,0,1,NA,"WA613",0.137013261,0.511498983,1.000569401,0,0,0,0,0,1218.5232,11398.72,1561.7758,5830.4337,11405.2104,0,0,0,0,0,16.7902351174012,14.1592917721532,6.29205718297164,0,0,6.19218187483038,525.110006490258,953.752080941527,320.692678272569,9207.86776348969,895.135924703998,19.1115517501171
"18",22,669,"{D86BCF53-34A3-4B59-9B19-65FD99869F06}",NA,"2013/01/18 07:09:21.000",77.42,19131.41,"Willow Creek","WA","170601070607","S","TF","170601070608",0.641019278953715,0.009061397046151,55000600282200,"1706",3308,"Laib, Upland Direct Seed Sediment Reduct
","Upland Acres Managed for Agriculture (C.6.i.3)
",564,5,19118.38,4207.28,0.2201,14584.11,0.7628,0.0171,19.18,0.001,0.999,NA,"WA613",0,0.003879838,0.405935492,0,0,0,0,0,326.9243,19099.2616,0,74.1762,7760.829,0,0,0,0,0,7.16289853964264,2.35210279318674,0.173400421365488,0,0,0,173.090376492973,4199.19948357712,26.073208871489,14557.0654834114,300.089234984301,0
"19",23,677,"{5F51A39D-DAAA-4842-ADAA-B0FF7D8E73A9}","{B1AC9B54-3E77-434F-BC92-AFE77DE72C8E}","2016/11/18 10:25:31.000",82.54,20394.99,"Flagpole Gulch-Snake River","WA","170601070807","S","TF","170601070808",0.615777054659176,0.009689304237511,55000600282300,"1706",0,NA,NA,0,6,7799.57,397.69,0.051,5688.55,0.7293,0.2197,249.98,0.0321,0.9679,NA,"WA613",0,0.754857649,0,0,0.205387533,0.011050924,0.754857649,0,1713.5655,7549.2038,0,5887.5651,0,0,1601.9344,86.1925,5887.5651,0,0,0,1.07368099799979,1424.21246207524,0,0,1589.82941521058,396.954644670109,1703.87377798077,5677.69130169492,0,2.67896459656219
"20",24,697,"{955C3936-4D7A-4F9B-862C-6C7AA0DF986C}",NA,"2013/01/18 07:09:21.000",93.24,23039.65,"Town of Marengo-Tucannon River","WA","170601070608","S","TF","170601070701",0.833262902665749,0.010917023379695,55000600282200,"1706",85004,"Tucannon River Off-Set Dike Construction 
","Upland Managed for Livestock
",321,7,21157.48,2815.39,0.1331,15506.38,0.7329,0.134,223,0.0105,0.9895,NA,"WA613",0,0.629523421,0.973888826,0.012797624,0,0,0,0,2835.1023,20935.3265,0,13319.1292,20605.0334,270.7655,0,0,0,0,67.8421553657191,89.1151216995726,4.30581084596758,0,5.48705542573705,11.2402849808943,1436.47450467919,2810.11442756376,829.304426680744,15477.6445985237,2000.81185000976,9.69310179895998
"21",25,698,"{48656F59-BFB7-4FA2-B2DB-F324466FE938}",NA,"2013/01/18 07:09:21.000",67.62,16708.35,"Smith Hollow-Tucannon River","WA","170601070701","S","TF","170601070703",0.535604438143866,0.007917029397999,55000600282200,"1706",0,NA,NA,0,4,16697.47,884.13,0.0529,15068.2,0.9024,0.0447,1428.71,0.0856,0.9144,NA,"WA613",0,0,0.240242019,0.040044937,0,0.065223572,0,0,746.3769,15268.1666,0,0,4011.4339,668.6491,0,1089.0686,0,0,8.7734425509725,54.0830489418077,0,0,0,7.95545890865306,400.647805884355,882.495393327568,186.395958701581,15039.5135264694,557.08060212232,0
"22",26,740,"{5853C5DA-EC35-46BD-B7BE-2A6A1A972B60}",NA,"2013/01/18 07:09:21.000",83.49,20631.35,"Chard Gulch-Pataha Creek","WA","170601070505","S","TF","170601070506",0.668061452848796,0.009785145473991,55000600282600,"1706",0,NA,NA,0,9,5372.14,1647.48,0.3067,3453.58,0.6429,0.0504,13.55,0.0025,0.9975,"Partial Crop","WA613",0,0.53458784,0.091719627,0.091231117,0,0,0.000214266,0,270.7559,5358.7097,0,2871.8807,492.7307,490.1063,0,0,1.1511,0,NA,NA,NA,NA,NA,NA,92.3967395158087,1642.92880649076,0,3446.78858541917,270.527113261537,10.2944248268759
"23",27,881,"{9675C129-9858-4905-BE81-A9DC3D43FF09}","{140A8DBC-2B30-4291-97E8-972BD34A119B}","2016/03/22 16:51:56.000",89.45,22102.41,"Kellogg Creek","WA","170601070702","S","TF","170601070704",0.629557843587542,0.010471113799897,55000600282900,"1706",0,NA,NA,0,0,22088.68,478.66,0.0217,21453.74,0.9713,0.007,2141.27,0.0969,0.9031,NA,"WA613",0,0,0,0.015740276,0,0,0,0,154.6208,19948.2869,0,0,0,347.6819,0,0,0,0,0,2.2975314668159,0,0,0,0,154.394095427203,477.686134258048,1.69939359760557,21412.0950434329,154.276351194442,0
"24",30,1024,"{BCF2AE5B-18E3-4BF2-8782-B95F37BF7E20}","{E99CB89E-86C5-46FA-932D-BF4C5BA21F65}","2016/11/18 09:44:57.000",68.08,16822.3,"West Fork Butte Creek","WA","170601060306","S","TF","170601060307",0.47283118510769,0.007918091565896,55000600282900,"1706",0,NA,NA,0,0,16810.2299606,0,0,0,0,0,0,0,0,"Unavailable Data","NONE",0.225840352,0,0,0,0,0,0,0,0,0,3796.4283,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",31,1025,"{FA367A34-6EDD-4427-BF96-04B6EA12E26B}",NA,"2013/01/18 07:09:21.000",76.84,18987.43,"Upper Crooked Creek","WA","170601060309","S","NM","170601060311",0.452350016902639,0.008939705431466,55000600282900,"1706",0,NA,NA,0,0,17204.794406,0,0,0,0,0,0,0,0,"Unavailable Data","NONE",0,0,0,0,0,0,0,0.157810806,0,0,0,0,0,0,0,0,0,2715.1025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",8,455,"{CC74422D-3ADC-4545-BDE7-FD40F7161066}",NA,"2013/01/18 07:09:21.000",81.95,20250.29,"Upper South Fork Wenaha River","OR,WA","170601060301","S","TF","170601060302",0.477499524418276,0.009505937840515,55000600282800,"1706",0,NA,NA,0,0,171.175811341,0,0,0,0,0,0,0,0,"Unavailable Data","NONE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",9,456,"{7B8E0127-FAC0-457C-A508-ADBA9FA1FF03}",NA,"2013/01/18 07:09:21.000",71.17,17585.54,"North Fork Wenaha River","OR,WA","170601060303","S","TF","170601060305",0.48667231642471,0.008267594482763,55000600282800,"1706",0,NA,NA,0,0,11287.0712,0,0,0,0,0,0,0,0,"Unavailable Data","NONE
NONE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",12,598,"{5B30EBE6-BA91-48CF-A55F-0EEF2B5F1CA0}",NA,"2013/01/18 07:09:21.000",50.53,12485.23,"Beaver Creek","OR,WA","170601060304","S","TF","170601060305",0.378083934687959,0.00586949783483,55000600282800,"1706",0,NA,NA,0,0,7697.63367327,0,0,0,0,0,0,0,0,"Unavailable Data","NONE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",13,599,"{06BD1D72-9765-45D3-85F8-D1EF5FD29D5F}",NA,"2013/01/18 07:09:21.000",58.23,14389.19,"Rock Creek-Wenaha River","OR,WA","170601060305","S","TF","170601060308",0.469496688186294,0.006758983771611,55000600282800,"1706",0,NA,NA,0,0,1730.59842916,0,0,0,0,0,0,0,0,"Unavailable Data","NONE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
